country,code,GDP_Rate,Population_Rate,male_female
Philippines,PHL,0.8099497394094538,0.9342966797511664,0.8120200475292776
Trinidad and Tobago,TTO,-0.1499715859267289,0.23540131892615007,0.5680109845258329
Argentina,ARG,-0.2350696190269997,0.30808368203513453,0.007863503400356055
Seychelles,SYC,-0.01177661883589604,-0.02194819903989284,0.07139894623657231
Poland,POL,0.5330379964140873,0.3036102705666839,-0.2541482025646965
Belize,BLZ,0.5516995199385669,0.5398691688908878,0.35338875179218593
Grenada,GRD,-0.3677096005835107,-0.18202220478415648,0.295873181277842
Panama,PAN,-0.3263690892264557,0.13066918668124353,0.30501503446934963
Kuwait,KWT,-0.030146911877625807,-0.20502576929014274,0.24281231936288183
Mexico,MEX,0.9392731898535474,0.9853323810733214,0.9612084595162289
Kyrgyzstan,KGZ,-0.6362231394415544,-0.9150455382523276,0.5695274733022347
Paraguay,PRY,0.7599968993976425,0.9360770470610421,0.7608067958891385
Thailand,THA,-0.1969679494714723,0.088620022756935,-0.03994490157123697
France,FRA,-0.8910330162199884,-0.9544387970448824,0.9712990280391335
Japan,JPN,0.24931866412532436,0.5456558983441386,0.5257161741474381
Turkmenistan,TKM,-0.7897984703898728,-0.481660228989875,0.7424402990253955
El Salvador,SLV,-0.6529639112110885,-0.6927714611666587,0.5305685770602561
Slovenia,SVN,-0.9529455791278114,-0.9621885443540892,0.8187007526484074
Puerto Rico,PRI,-0.7337807666130007,-0.6400656859999174,0.0815519866031898
Belgium,BEL,-0.7416790406841786,-0.73321194550682,0.6717982523666887
Hungary,HUN,-0.90403545336273,0.6134843535289366,0.9469664627039858
Netherlands,NLD,-0.2817003460242346,-0.3876514285076002,0.528750763204536
Slovakia,SVK,-0.5019479865878425,-0.43354641150036544,0.9089312184607499
Azerbaijan,AZE,-0.11191947146687299,-0.059199589481925906,0.9441176281520804
Belarus,BLR,-0.6864193402328259,0.6953025296604534,0.8190899894734381
Greece,GRC,-0.04625336587021273,-0.2000109890424217,0.4014626455050941
San Marino,SMR,-0.4173798978818254,-0.6115434593750992,nan
Germany,DEU,-0.7567584036061584,-0.8441054078418138,0.9775400844653728
Singapore,SGP,-0.6579822333635188,-0.7490406902358058,0.8148918362347773
Uzbekistan,UZB,-0.28919976362108857,-0.635286691267866,0.49070823348316556
Armenia,ARM,-0.02294007901794841,-0.19963195750666224,0.570424369034247
Kiribati,KIR,-0.5413759391744369,-0.792147298075721,0.6550734780338058
Sri Lanka,LKA,-0.8423723520534464,-0.8639940440409591,0.9303742418287116
Finland,FIN,-0.8510603475107353,-0.9752308029182273,0.9208300906613888
Bulgaria,BGR,-0.9287679102475703,0.8159515172125932,0.9186564551710407
Brazil,BRA,0.8356111067311868,0.9700399572818941,0.8303579760188763
"Korea, Republic of",KOR,0.896789288565361,0.9324557539734489,0.9740761611025447
United States,USA,0.05782770992998889,0.036532714563888534,0.786860511254155
Iceland,ISL,-0.1245344133596266,-0.1497696637492884,-0.015890722323226313
Cuba,CUB,-0.7437036777206897,-0.9454121989142183,0.8782348314360641
