country,code,GDP_Rate,Population_Rate,male_female
Singapore,SGP,1.8163466868080547e-12,6.124129603817764e-43,3.7812505957907974e-14
Azerbaijan,AZE,0.00010007757944701261,7.927236135306085e-30,0.0001640347897564855
Spain,ESP,2.2985704946234334e-18,2.5657528535221657e-60,6.467559291610562e-51
Jamaica,JAM,1.462876502153787e-10,1.0319846613606678e-30,0.03542418741751343
Ecuador,ECU,1.6934220910836984e-14,8.392678372419264e-38,3.8573999557113703e-20
Israel,ISR,8.12846306682037e-20,6.630249820206516e-35,6.9878593999963395e-31
Dominica,DMA,nan,nan,nan
Seychelles,SYC,4.089325019329674e-13,3.4928586297614187e-28,5.04910744497738e-10
Bulgaria,BGR,1.0494717299736736e-10,3.5267476446737028e-62,4.755008779602077e-27
Poland,POL,1.0079279776002686e-10,4.6912452384667744e-89,8.238885341237738e-43
Portugal,PRT,2.3402538618097016e-14,1.0055631651181897e-74,1.2887002772665367e-21
Barbados,BRB,2.869048920971427e-19,7.816290730739205e-59,0.00012792013022830777
El Salvador,SLV,1.0076539580512463e-18,4.337126780060431e-48,1.5492874946462742e-22
Georgia,GEO,5.048631859764786e-08,1.0656348423175983e-39,2.7564752254143775e-14
Estonia,EST,1.4928900829855233e-09,1.4352529299852566e-57,8.108512398680602e-13
Paraguay,PRY,6.962315227299666e-14,7.373778392802829e-33,1.6160094178864534e-08
Ireland,IRL,3.557762433731592e-13,7.389925431391872e-50,5.8798439677346496e-31
Germany,DEU,1.075486455590177e-25,2.202561747884318e-88,8.981290371469009e-29
Japan,JPN,1.6662909619559476e-31,3.478513159408472e-95,3.453445797236571e-23
Guyana,GUY,2.3336697097591574e-08,1.445156873135783e-86,7.584114915313491e-10
Colombia,COL,6.741509344734665e-12,3.4028709360146474e-41,1.5117572048127165e-23
Montenegro,MNE,8.40509991203149e-06,2.0244987993434852e-36,0.2118013878119937
Cuba,CUB,9.523859373248652e-15,3.7667027457628295e-68,1.711805954159377e-16
Slovenia,SVN,4.0796308710285415e-16,2.159031150046122e-70,4.078752035343272e-22
Belgium,BEL,6.7423372665936324e-21,2.1472304754363397e-75,2.906666670165797e-42
Fiji,FJI,6.993396020780511e-12,1.565158497711935e-29,0.00041670976947097047
Hungary,HUN,3.156049786036487e-14,2.475664739193053e-72,5.789590957307202e-23
Cyprus,CYP,1.316454697729387e-14,1.4457646642493994e-29,1.4418976323407179e-05
United States,USA,3.4229767389707923e-25,8.770752542763202e-54,2.3100468945220996e-55
Mongolia,MNG,nan,nan,nan
Sri Lanka,LKA,7.082805382957949e-09,8.663332143328393e-21,4.261491240686157e-11
Finland,FIN,4.0547314856608657e-22,6.826740661877593e-76,6.088459160946104e-22
Guatemala,GTM,2.361308517873916e-17,1.2408247664375554e-32,1.525525437636732e-21
