country,code,year,GDP,population,malePopulation,femalePopulation,totalRate,maleRate,femaleRate,5-14,15-24,25-34,35-54,55-74,75+,male_5-14,male_15-24,male_25-34,male_35-54,male_55-74,male_75+,female_5-14,female_15-24,female_25-34,female_35-54,female_55-74,female_75+
Albania,ALB,1987,796,2709600.0,1392700.0,1316900.0,2.6941245940360203,3.4465426868672364,1.8983977522970614,0.0,5.8081646199800865,2.4459078080903107,3.7491479209270615,0.3544842254519674,3.484320557491289,0.0,6.71,3.28,5.19,0.73,4.59,0.0,4.83,1.56,2.15,0.0,2.81
Albania,ALB,1988,769,2764300.0,1420700.0,1343600.0,2.279057989364396,2.8859013162525518,1.637392080976481,0.0,4.066363044892649,1.8439977872026556,3.0070163715335783,2.4330900243309004,5.110732538330494,0.0,5.33,1.79,4.46,2.85,4.48,0.0,2.71,1.91,1.41,2.03,5.49
Albania,ALB,1989,833,2803100.0,1439800.0,1363300.0,2.4258856266276623,3.681066814835394,1.1002714002787355,0.0,2.7269810715431504,3.6370249136206585,3.6243822075782535,2.399725745629071,3.361344537815126,0.0,3.71,6.35,4.71,4.22,8.89,0.0,1.67,0.75,2.43,0.67,0.0
Albania,ALB,1992,251,2822500.0,1399300.0,1423200.0,1.6651904340124002,2.358322018151933,0.983698707138842,0.0,2.8771803632440207,2.1446675765256384,2.0992652571599937,1.8495684340320593,0.0,0.0,3.41,2.85,3.49,3.13,0.0,0.0,2.39,1.5,0.62,0.61,0.0
Albania,ALB,1993,437,2807300.0,1379900.0,1427400.0,2.60036333843907,3.3335748967316476,1.8915510718789408,0.28276544606249115,5.297010972379871,3.252693636918073,2.494497432134996,2.690582959641256,1.5748031496062993,0.27,7.4,3.91,2.85,4.24,4.13,0.29,3.51,2.67,2.11,1.18,0.0
Albania,ALB,1994,697,2849300.0,1404200.0,1445100.0,1.7548169725897587,2.492522432701894,1.0379904504878554,0.13962580284836637,2.2865853658536586,2.030456852791878,1.5596200198497094,3.468208092485549,6.2015503875969,0.27,2.48,2.59,2.48,6.42,8.13,0.0,2.12,1.53,0.58,0.57,5.01
Albania,ALB,1995,835,2903400.0,1429600.0,1473800.0,3.03092925535579,3.777280358142138,2.30696159587461,1.1031439602868174,4.574042309891366,4.024954719259409,3.004233237744094,3.069196428571429,4.552352048558421,1.59,4.56,5.58,3.72,5.06,3.98,0.57,4.59,2.65,2.24,1.11,4.9
Albania,ALB,1996,1127,2940200.0,1444200.0,1496000.0,3.0270049656485956,3.4621243595069937,2.606951871657754,0.4084411164057182,6.211180124223603,4.769475357710652,2.831715210355987,1.1019283746556474,6.006006006006006,0.53,6.98,5.95,3.16,1.67,7.87,0.28,5.56,3.73,2.49,0.55,4.85
Albania,ALB,1997,793,2977300.0,1448400.0,1528900.0,5.709871359957008,8.146920740127037,3.4011380731244687,1.3453518094981838,10.029717682020802,10.198078054520494,4.927420428818751,3.267084127416281,7.407407407407407,1.05,13.5,15.25,7.88,6.66,11.81,1.66,7.14,5.84,1.89,0.0,4.75
Albania,ALB,1998,899,3012700.0,1475400.0,1537300.0,5.111693829455306,6.506710044733631,3.7728485006179664,0.39883009837809097,10.837619397501838,6.980802792321117,4.9980270945679335,4.032258064516129,4.405286343612335,0.51,10.85,10.82,7.47,4.9,11.63,0.27,10.83,3.63,2.42,3.19,0.0
