country,code,year,GDP,population,malePopulation,femalePopulation,totalRate,maleRate,femaleRate,5-14,15-24,25-34,35-54,55-74,75+,male_5-14,male_15-24,male_25-34,male_35-54,male_55-74,male_75+,female_5-14,female_15-24,female_25-34,female_35-54,female_55-74,female_75+
Antigua and Barbuda,ATG,1985,0.17749974131584167,2.390040572208818e-05,1.5732359315734357e-05,3.1577383197145537e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina,ARG,1985,0.14707714319229126,0.12250883877277374,0.1250666379928589,0.1201048195362091,0.17940473556518555,0.19402466714382172,0.1543681025505066,0.09495949745178223,0.06604604423046112,0.0965261310338974,0.13243713974952698,0.3922238051891327,0.259714275598526,0.0574837252497673,0.07547610998153687,0.09962264448404312,0.126793771982193,0.37283194065093994,0.3847217559814453,0.11897106468677521,0.05133146420121193,0.08839286118745804,0.13658379018306732,0.2733273208141327,0.09851708263158798
Australia,AUS,1985,0.620029091835022,0.06573382019996643,0.06753222644329071,0.06404353678226471,0.3124278783798218,0.35520970821380615,0.2282722443342209,0.06693100929260254,0.20212045311927795,0.2882024645805359,0.23648834228515625,0.3851250410079956,0.16460572183132172,0.033622559159994125,0.2714102268218994,0.34566035866737366,0.22088970243930817,0.36761319637298584,0.21147598326206207,0.1028938889503479,0.09267693758010864,0.14940476417541504,0.25185665488243103,0.2541254162788391,0.12121210992336273
Austria,AUT,1985,0.48426955938339233,0.031961534172296524,0.031149500980973244,0.03272475302219391,0.7189799547195435,0.7831116318702698,0.6534611582756042,0.18171386420726776,0.27949538826942444,0.4642452597618103,0.5960628986358643,0.9778949022293091,0.5083509683609009,0.1366594284772873,0.369903028011322,0.5318238735198975,0.5612956285476685,0.9326170086860657,0.6712754964828491,0.14147910475730896,0.13822704553604126,0.30595239996910095,0.6409428715705872,0.7830782532691956,0.41818180680274963
Bahamas,BHS,1985,0.5690997838973999,0.0006634469609707594,0.0006678302306681871,0.0006593273137696087,0.012001854367554188,0.017930421978235245,0.0,0.0,0.0,0.0,0.03669646754860878,0.0,0.0,0.0,0.0,0.0,0.04879049211740494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bahrain,BHR,1985,0.49574291706085205,0.0013984955148771405,0.0018089406657963991,0.0010127266868948936,0.07349700480699539,0.0807676687836647,0.027298985049128532,0.0,0.0,0.12961460649967194,0.08335750550031662,0.0,0.0,0.0,0.0,0.13031445443630219,0.06191062182188034,0.0,0.0,0.0,0.0,0.0,0.12011624872684479,0.0,0.0
Barbados,BRB,1985,0.29623091220855713,0.0007871635025367141,0.0007520104991272092,0.0008202031604014337,0.07408417016267776,0.08224963396787643,0.06439875066280365,0.0,0.0,0.12018809467554092,0.0,0.22755682468414307,0.08744588494300842,0.0,0.0,0.05723270773887634,0.0,0.3542594015598297,0.1728309839963913,0.0,0.0,0.27053573727607727,0.0,0.0,0.0
Belgium,BEL,1985,0.46334752440452576,0.04174776375293732,0.04191523417830467,0.041590366512537,0.6015942096710205,0.6051154732704163,0.626425564289093,0.21771569550037384,0.13084112107753754,0.3747588098049164,0.48655620217323303,0.9232320785522461,0.516053318977356,0.20173534750938416,0.1642715334892273,0.39748427271842957,0.4115416407585144,0.7863391637802124,0.7018319964408875,0.05144694447517395,0.07761036604642868,0.31190475821495056,0.6690345406532288,0.8040803670883179,0.37433913350105286
Brazil,BRA,1985,0.07616031914949417,0.5321243405342102,0.5467368960380554,0.5183903574943542,0.08798618614673615,0.09694588929414749,0.070980004966259,0.0512060709297657,0.04775645211338997,0.08665981143712997,0.0863148495554924,0.15050633251667023,0.08470065146684647,0.023861169815063477,0.0558476522564888,0.09245283156633377,0.08640836924314499,0.15303146839141846,0.10611822456121445,0.08360128849744797,0.03573931008577347,0.07410714775323868,0.07846303284168243,0.07860784977674484,0.041779495775699615
Bulgaria,BGR,1985,0.0837400034070015,0.037772972136735916,0.03865652158856392,0.03694254904985428,0.42414015531539917,0.4455137550830841,0.3918111026287079,0.21090266108512878,0.12821164727210999,0.19979821145534515,0.24082478880882263,0.6790221929550171,0.771700382232666,0.17895877361297607,0.14908283948898315,0.21144653856754303,0.23400984704494476,0.6006139516830444,0.9068095684051514,0.1028938889503479,0.09425368160009384,0.17291666567325592,0.23926380276679993,0.5292528867721558,0.544293999671936
